2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Total"
"430640 DOIS IRMAOS";-;1;-;1
"430660 DOM PEDRITO";3;-;-;3
"430900 GIRUA";1;-;-;1
"431080 IVOTI";-;2;-;2
"431230 MIRAGUAI";1;-;-;1
"431350 OSORIO";1;-;-;1
"431410 PASSO FUNDO";-;1;-;1
"431455 PIRAPO";-;3;-;3
"431490 PORTO ALEGRE";1;-;-;1
"431680 SANTA CRUZ DO SUL";1;-;-;1
"431800 SAO BORJA";18;4;-;22
"432000 SAPUCAIA DO SUL";-;1;-;1
"432030 SELBACH";1;-;-;1
"500060 AMAMBAI";-;4;1;5
"500070 ANASTACIO";1;-;-;1
"500080 ANAURILANDIA";3;-;-;3
"500230 BRASILANDIA";-;3;-;3
"500240 CAARAPO";-;-;1;1
"500270 CAMPO GRANDE";5;1;-;6
"500290 CASSILANDIA";6;7;-;13
"500295 CHAPADAO DO SUL";-;6;2;8
"500315 CORONEL SAPUCAIA";-;1;-;1
"500330 COXIM";-;1;-;1
"500370 DOURADOS";-;1;-;1
"500450 ITAPORA";-;1;-;1
"500460 ITAQUIRAI";-;2;-;2
"500470 IVINHEMA";-;1;1;2
"500500 JARDIM";2;2;-;4
"500540 MARACAJU";4;2;-;6
"500560 MIRANDA";1;-;-;1
"500570 NAVIRAI";-;2;-;2
"500660 PONTA PORA";4;11;-;15
"500740 RIO VERDE DE MATO GROSSO";-;2;-;2
"500769 SAO GABRIEL DO OESTE";1;-;-;1
"500770 SETE QUEDAS";1;4;-;5
"500790 SIDROLANDIA";-;3;-;3
"500793 SONORA";-;1;-;1
"500800 TERENOS";-;1;-;1
"500830 TRES LAGOAS";-;3;-;3
"500840 VICENTINA";-;1;-;1
"510025 ALTA FLORESTA";2;1;-;3
"510060 ALTO TAQUARI";1;-;-;1
"510250 CACERES";5;8;-;13
"510263 CAMPO NOVO DO PARECIS";1;-;-;1
"510267 CAMPO VERDE";2;2;-;4
"510270 CANARANA";7;1;-;8
"510300 CHAPADA DOS GUIMARAES";2;-;-;2
"510320 COLIDER";1;-;-;1
"510340 CUIABA";2;-;-;2
"510420 GUIRATINGA";26;26;-;52
"510460 ITIQUIRA";4;-;-;4
"510510 JUARA";6;2;-;8
"510560 MATUPA";-;1;-;1
"510619 NOVA SANTA HELENA";-;1;-;1
"510623 NOVA OLIMPIA";-;1;-;1
"510625 NOVA XAVANTINA";2;-;-;2
"510710 SAO JOSE DOS QUATRO MARCOS";1;-;-;1
"510760 RONDONOPOLIS";1;-;-;1
"510795 TANGARA DA SERRA";7;10;-;17
"510860 VILA RICA";1;-;-;1
"520025 AGUAS LINDAS DE GOIAS";66;6;-;72
"520140 APARECIDA DE GOIANIA";1;-;-;1
"520549 CIDADE OCIDENTAL";-;1;1;2
"520800 FORMOSA";-;1;-;1
"520870 GOIANIA";4;2;-;6
"520910 GOIATUBA";1;4;-;5
"521190 JATAI";54;-;-;54
"521210 JOVIANIA";-;-;1;1
"521250 LUZIANIA";27;2;-;29
"521380 MORRINHOS";-;-;1;1
"521523 NOVO GAMA";1;1;-;2
"521800 PORANGATU";1;1;-;2
"521975 SANTO ANTONIO DO DESCOBERTO";1;1;-;2
"522000 SAO JOAO D'ALIANCA";-;-;1;1
"522150 TURVANIA";1;-;-;1
"522185 VALPARAISO DE GOIAS";1;2;-;3
"530010 BRASILIA";22;16;-;38
"Total";1583;2435;194;4212
&
