Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd
Leptospirosis,8,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,5,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,406,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,1,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,1,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,87,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,1,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,49,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,2,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,0,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,13,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,6,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
