2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"150680 SANTAREM";1;-;1;-;2;7;20;8;3;1;-;-;43
"150700 SANTO ANTONIO DO TAUA";-;-;-;-;-;1;2;-;4;-;-;-;7
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;1;3;7;11;9;17;11;4;63
"150715 SAO DOMINGOS DO ARAGUAIA";-;-;-;-;1;-;-;2;3;-;-;-;6
"150720 SAO DOMINGOS DO CAPIM";1;3;13;24;21;19;36;20;30;26;29;2;224
"150730 SAO FELIX DO XINGU";-;-;-;-;4;-;2;-;-;-;-;-;6
"150740 SAO FRANCISCO DO PARA";-;-;-;-;2;-;1;-;-;-;-;-;3
"150746 SAO JOAO DA PONTA";-;-;-;-;-;1;-;-;3;-;1;-;5
"150747 SAO JOAO DE PIRABAS";4;1;-;1;1;-;-;-;-;-;-;-;7
"150750 SAO JOAO DO ARAGUAIA";6;4;4;2;3;3;6;5;11;11;3;-;58
"150760 SAO MIGUEL DO GUAMA";-;-;-;1;2;2;5;2;14;10;9;-;45
"150775 SAPUCAIA";-;-;-;-;-;-;-;-;1;1;-;-;2
"150780 SENADOR JOSE PORFIRIO";-;3;2;2;2;8;6;14;14;18;11;4;84
"150790 SOURE";-;-;-;-;2;1;1;1;3;2;4;-;14
"150795 TAILANDIA";-;-;-;-;-;-;-;7;8;1;-;-;16
"150796 TERRA ALTA";-;-;-;-;2;2;4;3;1;-;-;-;12
"150797 TERRA SANTA";-;-;-;-;-;-;3;4;-;-;-;-;7
"150800 TOME-ACU";1;3;1;3;3;6;4;4;3;4;7;1;40
"150805 TRAIRAO";-;-;-;-;-;1;2;7;2;3;2;-;17
"150808 TUCUMA";-;-;-;-;-;7;6;7;7;4;1;-;32
"150810 TUCURUI";-;-;-;-;-;-;4;-;5;8;-;-;17
"150812 ULIANOPOLIS";1;-;-;1;-;-;-;-;-;-;1;1;4
"150815 URUARA";-;1;1;5;1;2;6;20;20;17;2;-;75
"150820 VIGIA";2;1;1;2;1;1;4;7;13;16;25;3;76
"150830 VISEU";-;-;-;1;-;-;1;2;5;13;6;1;29
"150835 VITORIA DO XINGU";5;13;14;3;14;9;21;12;26;9;6;-;132
"150840 XINGUARA";3;1;3;6;4;2;1;4;8;-;-;-;32
"160005 SERRA DO NAVIO";3;1;2;2;1;1;-;-;-;-;-;-;10
"160010 AMAPA";-;-;-;-;-;-;1;-;-;-;-;-;1
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;-;-;-;-;1;-;-;-;1
"160020 CALCOENE";2;12;12;39;67;76;122;34;31;34;5;-;434
"160023 FERREIRA GOMES";-;-;-;-;-;-;-;-;4;3;-;-;7
"160027 LARANJAL DO JARI";13;15;68;40;51;11;18;101;77;9;4;-;407
"160030 MACAPA";22;23;31;49;58;67;52;27;12;1;-;-;342
"160050 OIAPOQUE";73;104;99;39;104;96;70;5;-;-;-;-;590
"160053 PORTO GRANDE";-;3;7;1;-;4;3;2;9;19;4;1;53
"160055 PRACUUBA";-;-;-;1;-;-;-;-;4;3;6;-;14
"160060 SANTANA";4;3;11;13;19;24;52;79;75;26;1;-;307
"160070 TARTARUGALZINHO";7;24;19;48;125;263;208;95;7;-;-;-;796
"160080 VITORIA DO JARI";-;-;-;-;2;1;1;3;-;1;-;-;8
"170030 AGUIARNOPOLIS";-;1;-;1;1;2;3;4;1;-;-;-;13
"170035 ALIANCA DO TOCANTINS";-;-;-;-;1;-;1;1;1;-;1;-;5
"170040 ALMAS";-;-;-;-;1;3;-;-;-;-;-;-;4
"170070 ALVORADA";-;-;-;-;-;-;2;1;1;-;-;-;4
"170100 ANANAS";-;1;2;1;1;2;1;3;2;2;1;-;16
"170110 APARECIDA DO RIO NEGRO";-;-;1;-;-;2;-;-;-;-;-;-;3
"170130 ARAGOMINAS";-;-;-;-;1;-;-;-;1;-;-;-;2
"170190 ARAGUACEMA";-;-;-;-;1;-;1;2;-;-;2;-;6
"170200 ARAGUACU";-;-;-;-;-;1;-;1;4;5;2;-;13
"170210 ARAGUAINA";6;6;12;12;16;18;25;21;16;20;33;20;205
"170215 ARAGUANA";-;-;-;-;-;-;-;-;1;1;-;-;2
"170230 ARAPOEMA";-;-;-;-;-;2;-;2;1;-;-;-;5
"170240 ARRAIAS";2;-;1;3;16;10;17;26;24;24;20;1;144
"170255 AUGUSTINOPOLIS";-;-;-;1;1;-;3;-;-;-;-;-;5
"170270 AURORA DO TOCANTINS";-;-;-;-;1;7;5;1;4;8;5;-;31
"170300 BABACULANDIA";-;1;-;-;-;-;-;3;-;2;-;-;6
"170310 BARROLANDIA";1;1;-;-;2;-;3;2;-;1;3;-;13
"170320 BERNARDO SAYAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"170330 BOM JESUS DO TOCANTINS";-;-;1;-;-;-;-;-;-;-;-;-;1
"170360 BRASILANDIA DO TOCANTINS";-;-;-;-;-;-;-;-;1;-;-;-;1
"170370 BREJINHO DE NAZARE";-;-;2;-;8;2;1;3;15;28;16;1;76
"170380 BURITI DO TOCANTINS";-;-;-;2;1;-;-;-;-;-;1;-;4
"170382 CACHOEIRINHA";-;-;-;-;-;-;-;-;1;-;-;-;1
"170384 CAMPOS LINDOS";-;-;-;-;2;-;3;3;3;-;3;-;14
"170388 CARMOLANDIA";-;1;-;1;4;-;3;1;-;-;-;-;10
"170389 CARRASCO BONITO";-;-;-;-;-;-;-;1;-;-;1;-;2
"170460 CHAPADA DE AREIA";-;-;-;-;-;-;-;2;2;2;1;1;8
"170510 CHAPADA DA NATIVIDADE";-;-;-;-;-;-;-;-;-;1;-;-;1
"170550 COLINAS DO TOCANTINS";1;3;1;6;21;28;34;60;111;122;113;24;524
"170555 COMBINADO";-;-;-;1;1;2;3;-;1;2;4;3;17
"170625 CRIXAS DO TOCANTINS";-;-;-;-;-;-;-;3;-;1;-;-;4
"170700 DIANOPOLIS";2;4;3;8;3;8;6;15;12;15;30;28;134
"170710 DIVINOPOLIS DO TOCANTINS";-;-;-;-;-;-;-;-;-;3;1;-;4
"170730 DUERE";-;-;2;-;2;3;3;1;-;-;-;-;11
"170740 ESPERANTINA";-;1;-;-;1;1;-;1;3;-;2;2;11
"170765 FIGUEIROPOLIS";-;-;-;-;-;1;-;-;-;-;-;-;1
"170770 FILADELFIA";-;-;1;-;-;-;-;1;1;1;1;-;5
"170820 FORMOSO DO ARAGUAIA";1;8;3;4;5;9;11;14;7;-;-;-;62
"170825 FORTALEZA DO TABOCAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"170830 GOIANORTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"170900 GOIATINS";-;-;-;-;2;1;-;-;1;1;-;-;5
"170930 GUARAI";-;1;1;1;1;-;-;2;2;5;4;3;20
"170950 GURUPI";4;4;8;6;10;12;19;39;19;17;16;4;158
"171050 ITACAJA";2;-;-;-;-;-;1;-;1;2;-;-;6
"171070 ITAGUATINS";-;-;-;-;1;-;-;-;1;-;-;-;2
"171090 ITAPIRATINS";-;-;-;-;-;-;-;-;1;-;-;-;1
"171110 ITAPORA DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;5;-;5
"171150 JAU DO TOCANTINS";-;-;-;-;1;-;1;-;2;-;1;-;5
"171180 JUARINA";-;-;-;-;-;1;3;-;2;2;-;-;8
"171190 LAGOA DA CONFUSAO";-;1;-;-;1;-;2;2;4;5;-;-;15
"171195 LAGOA DO TOCANTINS";-;2;-;-;-;-;-;-;-;1;-;-;3
