2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"353200 MORUNGABA";1;1;-;-;-;-;-;2
"353220 NARANDIBA";-;-;-;2;1;-;-;3
"353230 NATIVIDADE DA SERRA";-;-;-;1;-;1;-;2
"353250 NEVES PAULISTA";-;-;-;1;-;-;-;1
"353260 NHANDEARA";-;-;1;-;-;-;-;1
"353270 NIPOA";-;-;-;-;-;1;-;1
"353280 NOVA ALIANCA";-;1;-;1;-;-;-;2
"353282 NOVA CAMPINA";-;-;-;-;-;1;-;1
"353300 NOVA GRANADA";-;2;-;1;-;-;-;3
"353310 NOVA GUATAPORANGA";-;-;-;-;1;-;-;1
